0	-nan	-nan
1	51515.2	25000
2	51515.2	25000
3	51515.2	25000
4	51515.2	25000
5	51515.2	25000
6	51515.2	25000
7	51515.2	25000
8	51515.2	25000
9	51515.2	25000
10	51515.2	25000
11	51515.2	25000
12	51515.2	25000
13	51515.2	25000
14	51515.2	25000
15	51515.2	25000
16	51515.2	25000
17	51515.2	25000
18	51515.2	25000
19	51515.2	25000
20	51515.2	25000
21	51515.2	25000
22	51515.2	25000
23	51515.2	25000
24	51515.2	25000
25	51515.2	25000
26	51515.2	25000
27	51515.2	25000
28	51515.2	25000
29	51515.2	25000
30	51515.2	25000
31	51515.2	25000
32	51515.2	25000
33	51515.2	25000
34	51515.2	25000
35	51515.2	25000
36	51515.2	25000
37	51515.2	25000
38	51515.2	25000
39	51515.2	25000
40	51515.2	25000
41	51515.2	25000
42	51515.2	25000
43	51515.2	25000
44	51515.2	25000
45	51515.2	25000
46	51515.2	25000
47	51515.2	25000
48	51515.2	25000
49	51515.2	25000
50	51515.2	25000
51	51515.2	25000
52	51515.2	25000
53	51515.2	25000
54	51515.2	25000
55	51515.2	25000
56	51515.2	25000
57	51515.2	25000
58	51515.2	25000
59	51515.2	25000
60	51515.2	25000
61	51515.2	25000
62	51515.2	25000
63	51515.2	25000
64	51515.2	25000
65	51515.2	25000
66	51515.2	25000
67	51515.2	25000
68	51515.2	25000
69	51515.2	25000
70	51515.2	25000
71	51515.2	25000
72	51515.2	25000
73	51515.2	25000
74	51515.2	25000
75	51515.2	25000
76	51515.2	25000
77	51515.2	25000
78	51515.2	25000
79	51515.2	25000
80	51515.2	25000
81	51515.2	25000
82	51515.2	25000
83	51515.2	25000
84	51515.2	25000
85	51515.2	25000
86	51515.2	25000
87	51515.2	25000
88	51515.2	25000
89	51515.2	25000
90	51515.2	25000
91	51515.2	25000
92	51515.2	25000
93	51515.2	25000
94	51515.2	25000
95	51515.2	25000
96	51515.2	25000
97	51515.2	25000
98	51515.2	25000
99	51515.2	25000
