0	-nan	-nan	-nan
1	106061	75000	12000
2	106061	75000	12000
3	106061	75000	12000
4	106061	75000	12000
5	106061	75000	12000
6	106061	75000	12000
7	106061	75000	12000
8	106061	75000	12000
9	106061	75000	12000
10	106061	75000	12000
11	106061	75000	12000
12	106061	75000	12000
13	106061	75000	12000
14	106061	75000	12000
15	106061	75000	12000
16	106061	75000	12000
17	106061	75000	12000
18	106061	75000	12000
19	106061	75000	12000
20	106061	75000	12000
21	106061	75000	12000
22	106061	75000	12000
23	106061	75000	12000
24	106061	75000	12000
25	106061	75000	12000
26	106061	75000	12000
27	106061	75000	12000
28	106061	75000	12000
29	106061	75000	12000
30	106061	75000	12000
31	106061	75000	12000
32	106061	75000	12000
33	106061	75000	12000
34	106061	75000	12000
35	106061	75000	12000
36	106061	75000	12000
37	106061	75000	12000
38	106061	75000	12000
39	106061	75000	12000
40	106061	75000	12000
41	106061	75000	12000
42	106061	75000	12000
43	106061	75000	12000
44	106061	75000	12000
45	106061	75000	12000
46	106061	75000	12000
47	106061	75000	12000
48	106061	75000	12000
49	106061	75000	12000
50	106061	75000	12000
51	106061	75000	12000
52	106061	75000	12000
53	106061	75000	12000
54	106061	75000	12000
55	106061	75000	12000
56	106061	75000	12000
57	106061	75000	12000
58	106061	75000	12000
59	106061	75000	12000
60	106061	75000	12000
61	106061	75000	12000
62	106061	75000	12000
63	106061	75000	12000
64	106061	75000	12000
65	106061	75000	12000
66	106061	75000	12000
67	106061	75000	12000
68	106061	75000	12000
69	106061	75000	12000
70	106061	75000	12000
71	106061	75000	12000
72	106061	75000	12000
73	106061	75000	12000
74	106061	75000	12000
75	106061	75000	12000
76	106061	75000	12000
77	106061	75000	12000
78	106061	75000	12000
79	106061	75000	12000
80	106061	75000	12000
81	106061	75000	12000
82	106061	75000	12000
83	106061	75000	12000
84	106061	75000	12000
85	106061	75000	12000
86	106061	75000	12000
87	106061	75000	12000
88	106061	75000	12000
89	106061	75000	12000
90	106061	75000	12000
91	106061	75000	12000
92	106061	75000	12000
93	106061	75000	12000
94	106061	75000	12000
95	106061	75000	12000
96	106061	75000	12000
97	106061	75000	12000
98	106061	75000	12000
99	106061	75000	12000
